ListingDC(movie='Scary Movie', time=datetime.datetime(2026, 6, 6, 16, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='The Amazing Digital Circus: The Last Act', time=datetime.datetime(2026, 6, 6, 15, 50, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='The Amazing Digital Circus: The Last Act', time=datetime.datetime(2026, 6, 6, 18, 10, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Obsession', time=datetime.datetime(2026, 6, 6, 20, 30, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Star Wars: The Mandalorian and Grogu', time=datetime.datetime(2026, 6, 6, 16, 50, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Star Wars: The Mandalorian and Grogu', time=datetime.datetime(2026, 6, 6, 20, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='The Devil Wears Prada 2', time=datetime.datetime(2026, 6, 6, 17, 10, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='The Devil Wears Prada 2', time=datetime.datetime(2026, 6, 6, 19, 50, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Finding Emily', time=datetime.datetime(2026, 6, 6, 16, 30, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Scary Movie', time=datetime.datetime(2026, 6, 7, 13, 40, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Scary Movie', time=datetime.datetime(2026, 6, 7, 16, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Scary Movie', time=datetime.datetime(2026, 6, 7, 18, 10, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Scary Movie', time=datetime.datetime(2026, 6, 7, 19, 40, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Scary Movie', time=datetime.datetime(2026, 6, 7, 20, 30, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Masters Of The Universe', time=datetime.datetime(2026, 6, 7, 14, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Masters Of The Universe', time=datetime.datetime(2026, 6, 7, 17, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Masters Of The Universe', time=datetime.datetime(2026, 6, 7, 20, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Backrooms', time=datetime.datetime(2026, 6, 7, 14, 20, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Backrooms', time=datetime.datetime(2026, 6, 7, 16, 40, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Backrooms', time=datetime.datetime(2026, 6, 7, 19, 20, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Backrooms', time=datetime.datetime(2026, 6, 7, 20, 10, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Power Ballad', time=datetime.datetime(2026, 6, 7, 15, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Power Ballad', time=datetime.datetime(2026, 6, 7, 17, 30, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Power Ballad', time=datetime.datetime(2026, 6, 7, 19, 40, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Michael', time=datetime.datetime(2026, 6, 7, 16, 40, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Michael', time=datetime.datetime(2026, 6, 7, 19, 40, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='The Amazing Digital Circus: The Last Act', time=datetime.datetime(2026, 6, 7, 13, 30, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='The Amazing Digital Circus: The Last Act', time=datetime.datetime(2026, 6, 7, 15, 50, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='The Amazing Digital Circus: The Last Act', time=datetime.datetime(2026, 6, 7, 18, 10, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Obsession', time=datetime.datetime(2026, 6, 7, 20, 30, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Star Wars: The Mandalorian and Grogu', time=datetime.datetime(2026, 6, 7, 13, 50, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Star Wars: The Mandalorian and Grogu', time=datetime.datetime(2026, 6, 7, 16, 50, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='The Devil Wears Prada 2', time=datetime.datetime(2026, 6, 7, 14, 10, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='The Devil Wears Prada 2', time=datetime.datetime(2026, 6, 7, 17, 10, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='The Devil Wears Prada 2', time=datetime.datetime(2026, 6, 7, 19, 50, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Hoppers', time=datetime.datetime(2026, 6, 7, 12, 30, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Finding Emily', time=datetime.datetime(2026, 6, 7, 16, 30, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='The Sheep Detectives', time=datetime.datetime(2026, 6, 7, 12, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='The Super Mario Galaxy Movie', time=datetime.datetime(2026, 6, 7, 12, 10, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='The Super Mario Galaxy Movie', time=datetime.datetime(2026, 6, 7, 14, 30, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Tom & Jerry Forbidden Compass', time=datetime.datetime(2026, 6, 7, 13, 50, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Scary Movie', time=datetime.datetime(2026, 6, 8, 13, 40, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Scary Movie', time=datetime.datetime(2026, 6, 8, 16, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Scary Movie', time=datetime.datetime(2026, 6, 8, 18, 10, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Scary Movie', time=datetime.datetime(2026, 6, 8, 19, 40, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Scary Movie', time=datetime.datetime(2026, 6, 8, 20, 30, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Masters Of The Universe', time=datetime.datetime(2026, 6, 8, 14, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Masters Of The Universe', time=datetime.datetime(2026, 6, 8, 17, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Masters Of The Universe', time=datetime.datetime(2026, 6, 8, 20, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Backrooms', time=datetime.datetime(2026, 6, 8, 14, 20, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Backrooms', time=datetime.datetime(2026, 6, 8, 16, 40, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Backrooms', time=datetime.datetime(2026, 6, 8, 19, 20, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Backrooms', time=datetime.datetime(2026, 6, 8, 20, 10, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Power Ballad', time=datetime.datetime(2026, 6, 8, 15, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Power Ballad', time=datetime.datetime(2026, 6, 8, 17, 30, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Power Ballad', time=datetime.datetime(2026, 6, 8, 19, 40, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Michael', time=datetime.datetime(2026, 6, 8, 16, 40, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Michael', time=datetime.datetime(2026, 6, 8, 19, 40, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Obsession', time=datetime.datetime(2026, 6, 8, 18, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Obsession', time=datetime.datetime(2026, 6, 8, 20, 30, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Star Wars: The Mandalorian and Grogu', time=datetime.datetime(2026, 6, 8, 13, 50, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Star Wars: The Mandalorian and Grogu', time=datetime.datetime(2026, 6, 8, 16, 50, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='The Devil Wears Prada 2', time=datetime.datetime(2026, 6, 8, 14, 10, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='The Devil Wears Prada 2', time=datetime.datetime(2026, 6, 8, 17, 10, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='The Devil Wears Prada 2', time=datetime.datetime(2026, 6, 8, 19, 50, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Finding Emily', time=datetime.datetime(2026, 6, 8, 16, 30, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='The Sheep Detectives', time=datetime.datetime(2026, 6, 8, 15, 30, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='The Super Mario Galaxy Movie', time=datetime.datetime(2026, 6, 8, 14, 30, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Tom & Jerry Forbidden Compass', time=datetime.datetime(2026, 6, 8, 13, 50, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Scary Movie', time=datetime.datetime(2026, 6, 9, 13, 40, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Scary Movie', time=datetime.datetime(2026, 6, 9, 16, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Scary Movie', time=datetime.datetime(2026, 6, 9, 18, 10, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Scary Movie', time=datetime.datetime(2026, 6, 9, 19, 40, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Scary Movie', time=datetime.datetime(2026, 6, 9, 20, 30, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Masters Of The Universe', time=datetime.datetime(2026, 6, 9, 14, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Masters Of The Universe', time=datetime.datetime(2026, 6, 9, 17, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Masters Of The Universe', time=datetime.datetime(2026, 6, 9, 20, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Backrooms', time=datetime.datetime(2026, 6, 9, 14, 20, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Backrooms', time=datetime.datetime(2026, 6, 9, 16, 40, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Backrooms', time=datetime.datetime(2026, 6, 9, 19, 20, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Backrooms', time=datetime.datetime(2026, 6, 9, 20, 10, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Power Ballad', time=datetime.datetime(2026, 6, 9, 15, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Power Ballad', time=datetime.datetime(2026, 6, 9, 17, 30, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Power Ballad', time=datetime.datetime(2026, 6, 9, 19, 40, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Michael', time=datetime.datetime(2026, 6, 9, 16, 40, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Michael', time=datetime.datetime(2026, 6, 9, 19, 40, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Obsession', time=datetime.datetime(2026, 6, 9, 18, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Obsession', time=datetime.datetime(2026, 6, 9, 20, 30, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Star Wars: The Mandalorian and Grogu', time=datetime.datetime(2026, 6, 9, 13, 50, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Star Wars: The Mandalorian and Grogu', time=datetime.datetime(2026, 6, 9, 16, 50, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='The Devil Wears Prada 2', time=datetime.datetime(2026, 6, 9, 14, 10, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='The Devil Wears Prada 2', time=datetime.datetime(2026, 6, 9, 17, 10, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='The Devil Wears Prada 2', time=datetime.datetime(2026, 6, 9, 19, 50, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Finding Emily', time=datetime.datetime(2026, 6, 9, 16, 30, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='The Sheep Detectives', time=datetime.datetime(2026, 6, 9, 15, 30, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='The Super Mario Galaxy Movie', time=datetime.datetime(2026, 6, 9, 14, 30, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Tom & Jerry Forbidden Compass', time=datetime.datetime(2026, 6, 9, 13, 50, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Scary Movie', time=datetime.datetime(2026, 6, 10, 13, 40, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Scary Movie', time=datetime.datetime(2026, 6, 10, 16, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Scary Movie', time=datetime.datetime(2026, 6, 10, 18, 10, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Scary Movie', time=datetime.datetime(2026, 6, 10, 19, 40, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Scary Movie', time=datetime.datetime(2026, 6, 10, 20, 30, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Masters Of The Universe', time=datetime.datetime(2026, 6, 10, 14, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Masters Of The Universe', time=datetime.datetime(2026, 6, 10, 17, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Masters Of The Universe', time=datetime.datetime(2026, 6, 10, 20, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Backrooms', time=datetime.datetime(2026, 6, 10, 14, 20, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Backrooms', time=datetime.datetime(2026, 6, 10, 16, 40, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Backrooms', time=datetime.datetime(2026, 6, 10, 19, 20, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Power Ballad', time=datetime.datetime(2026, 6, 10, 13, 30, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Power Ballad', time=datetime.datetime(2026, 6, 10, 15, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Power Ballad', time=datetime.datetime(2026, 6, 10, 17, 30, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Power Ballad', time=datetime.datetime(2026, 6, 10, 20, 10, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Michael', time=datetime.datetime(2026, 6, 10, 16, 40, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Michael', time=datetime.datetime(2026, 6, 10, 19, 40, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Obsession', time=datetime.datetime(2026, 6, 10, 20, 30, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Star Wars: The Mandalorian and Grogu', time=datetime.datetime(2026, 6, 10, 13, 50, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Star Wars: The Mandalorian and Grogu', time=datetime.datetime(2026, 6, 10, 16, 50, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='The Devil Wears Prada 2', time=datetime.datetime(2026, 6, 10, 14, 10, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='The Devil Wears Prada 2', time=datetime.datetime(2026, 6, 10, 17, 10, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='The Devil Wears Prada 2', time=datetime.datetime(2026, 6, 10, 19, 50, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='Disclosure Day', time=datetime.datetime(2026, 6, 10, 14, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Disclosure Day', time=datetime.datetime(2026, 6, 10, 17, 10, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='Disclosure Day', time=datetime.datetime(2026, 6, 10, 20, 20, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=True)
ListingDC(movie='K-Pop Demon Hunters (A Sing-Along Event)', time=datetime.datetime(2026, 6, 10, 16, 0, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
ListingDC(movie='K-Pop Demon Hunters (A Sing-Along Event)', time=datetime.datetime(2026, 6, 10, 18, 15, tzinfo=zoneinfo.ZoneInfo(key='Europe/Dublin')), venue='Omniplex Dublin Rathmines', maxx=False)
